,Tweet,is Alert
0,"If They’re Not Helping Or Motivating You To Do Better That’s Not Your FRIEND Fr‼️🤷🏽‍♂️🤔 ....
.",No alert
1,Your lack of dedication is an insult to those who believe in you.,No alert
2,"As tears stream down my face, what have I done? I have become the void... I feel the cold embrace creeping in. My demons consume the last piece of humanity within... #Savage #Dark #Darkness",alert
3,""" It's a lonely road ""
#lonely
#melancholy",alert
4,"Ever feel really guilty about cutting someone off, even though it had an immediate, and lasting, effect?",alert
5,I’m sorry that the sunshine has gone. It’s my fault. I made a selfish bedtime wish for clouds due to having a presentation to finish and reference #guilt,alert
6,Some days I really wish I could just take a week off of everything and just do nothing. #stressed,alert
7,When you are #broken and can't #affoard to trust on anyone #again,alert
8,"When life only seems to get harder and harder, and then something that was normal for you becomes the hardest thing ever. That's when the bad things happen. That's when your blood boils and you break. The rage takes over... #darkquotes #Bloodfury",No alert
9,sometimes you just need to cry to let out some of the emotion #sad #quotes #broken,alert
10,I am so damn sick of my parents and grandparents making homophobic comments out of nowhere. Makes my blood boil. #angry,alert
11,I am mad for no reason,alert
12,Everyday is a struggle lately.,alert
