,Tweet,Sum_score,Counter,Score,emo_score,emo_counter
0,my mother is drunk great.. It's okay it's mothers week,4,2,2.0,0.0,0
1,is thrilled prom went well,6,2,3.0,0.0,0
2,Exceeding expectations #positive,3,1,3.0,0.0,0
3,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,4,2,2.0,0.0,0
4,This is a beautiful night! 😃😀😀😀,3,1,3.0,2.261,4
5,#Children look best while #smiling and #laughing with joy. Give your child the biggest smile that they deserve. A new Home at #EasternArc with #luxurious #amenities and playing space will make your children the #happiest kids.,18,7,2.5714285714285716,0.0,0
6,"Good morning Always Smiling, hoping things are going well in the things that concern you, keep your chin up and keep smiling 🙂🙂🙂
#Smiling lifts the #Spirit to greater heights 🙂🙂🙂 
Love to all of Australia from outback NSW 💝💝💝...misha 💞",19,7,2.7142857142857144,2.6710000000000003,4
7,"I like solid even ground 
Ok it loves me so much it likes to take me on trips! #JOKING",12,5,2.4,0.0,0
8,"If They’re Not Helping Or Motivating You To Do Better That’s Not Your FRIEND Fr‼️🤷🏽‍♂️🤔 ....
.",-2,1,-2.0,0.125,1
9,"Your emotions are neither good or bad, right or wrong. Feelings are what they are. They simply exist. #feeling #emotions #thoughts #life #thinkbigsundaywithmarsha",-2,3,-0.6666666666666666,0.0,0
10,"It’s good to feel good, knowing that a good thing is giving the #feeling",6,3,2.0,0.0,0
11,#Happiness is a good #feeling and you should embrace it but not reject it otherwise you fall into the spirals of agony and #depression.,15,5,3.0,0.0,0
12,"I have a wonderful and stress free life to live. Someone’s immature action won’t affect my values and perceptions in life. 

#positivity",2,4,0.5,0.0,0
13,"My old good memories, my old friends, my old love. I miss them. #love #feeling",8,4,2.0,0.0,0
14,"Goodnight peeps! Just want to remind u that u are worth it in anyyy wayy! U are good just the way you are! 

#selflove 
#reminder
#goodvibe",2,1,2.0,0.0,0
15,"Be selfless not selfish 💗
Inspire someone to better themselves today ! #positive  🌞🙏",4,3,1.3333333333333333,1.632,3
16,what a busy day,0,0,0.0,0.0,0
17,"A hearty #laugh gives one a dry cleaning, while a good cry is a wet wash. - Kevork Thomajan",0,3,0.0,0.0,0
18,One day you will realize that material things mean nothing. All that matters is the well-being of the people in your life.,2,1,2.0,0.0,0
19,"No matter what happens, no matter how far you seem to be away from where you want to be, never stop believing that you will somehow make it.",0,0,0.0,0.0,0
20,Believe in it till it manifests for you. Don't overthink how it will happen. Don’t worry about when it will happen. Just believe it. Allow it. Let it flow in.,4,1,4.0,0.0,0
21,"#smile and think #positive. The #nature is a source of hope , relaxation",12,4,3.0,0.0,0
22,Life is measured in love and positive contributions and moments of grace,10,3,3.3333333333333335,0.0,0
23,One small #positive thought in the morning can change the entire outcome of your day.,3,1,3.0,0.0,0
24,"Let go of the anxiety, breathe. You're going to have a great week, you'll get through it just like you always do. Stay positive, all is well.",8,5,1.6,0.0,0
25,A single lie discovered is enough to create doubt in every truth expressed.,0,2,0.0,0.0,0
26,"Love yourself a little extra right now. You’re learning, healing, growing, and discovering yourself all at once. It’s about to get magical for you.",4,1,4.0,0.0,0
27,You can't control everything. Sometimes you just need to relax and have faith that things will work out. Let go a little and let life happen.,5,2,2.5,0.0,0
28,Always remember that every day is a fresh start and you need to constantly remind yourself to make the most of it.,0,0,0.0,0.0,0
29,Your lack of dedication is an insult to those who believe in you.,-3,1,-3.0,0.0,0
30,"Encourage yourself, believe in yourself, and love yourself. Never doubt who you are.",8,3,2.6666666666666665,0.0,0
31,"Dare, dream, dance, smile, and sing loudly! And have faith that love is an unstoppable force!",9,3,3.0,0.0,0
32,"At the end of the day, all you need is hope and strength. Hope that it’ll get better, and the strength to hold on until it does.",8,4,2.0,0.0,0
33,Love those who saw you when you were invisible to everyone else.,4,1,4.0,0.0,0
34,"Too often we underestimate the power of a touch, a smile, a kind word, a  listening ear, an honest compliment, or the smallest act of caring, all  of which have the potential to turn a life around.",11,5,2.2,0.0,0
35,Walk away from anything that gives you bad vibes. There is no need to  explain or make sense of it. It's your life. Do what makes you happy.,0,2,0.0,0.0,0
36,I feel I'm like I belong to nowhere.,2,1,2.0,0.0,0
37,"As tears stream down my face, what have I done? I have become the void... I feel the cold embrace creeping in. My demons consume the last piece of humanity within... #Savage #Dark #Darkness",-7,2,-3.5,0.0,0
38,And the days are not full enough. And the nights are not full enough. And life slips by like a field mouse not shaking the grass.,4,2,2.0,0.0,0
39,""" It's a lonely road ""
#lonely
#melancholy",-8,3,-2.6666666666666665,0.0,0
40,"Ever feel really guilty about cutting someone off, even though it had an immediate, and lasting, effect?",-4,1,-4.0,0.0,0
41,I’m sorry that the sunshine has gone. It’s my fault. I made a selfish bedtime wish for clouds due to having a presentation to finish and reference #guilt,-10,5,-2.0,0.0,0
42,Some days I really wish I could just take a week off of everything and just do nothing. #stressed,-2,1,-2.0,0.0,0
43,I'm legitimately #Angry. I normally don't get angry... But my job has actually made me f*cking pissed off.,-3,3,-1.0,0.0,0
44,"A dream is the bearer of a new possibility, the enlarged horizon, the great hope.",6,2,3.0,0.0,0
45,"Believe in your vision! View it in your mind repeatedly! Stay #positive, stay focused and trust the process!",5,2,2.5,0.0,0
46,When you are #broken and can't #affoard to trust on anyone #again,-2,1,-2.0,0.0,0
47,But I am not heartless.The fact that I am so bitter and angry is proof for that. #DarkQuotes,-3,3,-1.0,0.0,0
48,"When life only seems to get harder and harder, and then something that was normal for you becomes the hardest thing ever. That's when the bad things happen. That's when your blood boils and you break. The rage takes over... #darkquotes #Bloodfury",-6,2,-3.0,0.0,0
49,"It’s 9:12pm and I’m going to bed, because the only place I’m not alone, is in my head #lonely",-1,2,-0.5,0.0,0
50,sometimes you just need to cry to let out some of the emotion #sad #quotes #broken,-8,2,-4.0,0.0,0
51,"why is it so easy to kill our happiness but so hard to kill our sadness? 

#sad #quote",-4,4,-1.0,0.0,0
52,"A hearty #laugh gives one a dry cleaning, while a good cry is a wet wash. 

- Kevork Thomajan",0,3,0.0,0.0,0
53,A #laugh is a smile that bursts.,5,2,2.5,0.0,0
54,"The way to peace is the way to love.
Love is the greatest power on earth.
It conquers all things",9,3,3.0,0.0,0
55,"Self care is a divine Responsibility... so is #SelfLove.. ... Self-care, aka taking a little “ME” Time..When you are loving Yourself...You let go of expectation that others need to show up for your happiness.",11,4,2.75,0.0,0
56,Hit me in the feels. This is why my PTSD wont let me work.,0,0,0.0,0.0,0
57,I am so damn sick of my parents and grandparents making homophobic comments out of nowhere. Makes my blood boil. #angry,-5,2,-2.5,0.0,0
58,I book a flight @Wakanowdotcom  on the 19th June 2019 after been debited successfully they did not confirm my flight order,3,1,3.0,0.0,0
59,I am mad for no reason,-2,1,-2.0,0.0,0
60,fair is foul and foul is fair hover through the fog and filthy air,0,0,0.0,0.0,0
