WORD,SCORE
ptsd,-4
suicide,-4
bipolar,-4
bpd,-4
selfharm,-4
heartbroken,-4
death,-4
ocd,-4
sadquotes,-3
chronicpain,-4
adhd,-4
chronicillness,-4
fibromyalgia,-4
brokenheart,-4
anxiety,-4
depressionquotes,-4
bpd,-4
mentalillness,-4
borderlinepersonalitydisorder,-4
anorexia,-4
depressionhelp,-4
depressionen,-4
depressionisreal,-4
depressionhurts,-4
mentalhealth,
anxietydepression,
depressionanxiety,-4
alzheimers,-4
mdd,-4
dysthymia,-4
postpartum,-4
pmdd,-4
seasonalffectiveisorder,-4
subsyndromal,-4
pdd,-4
pms,-4
premenstrualdysphoricdisorder,-4
disruptivemooddysregulationdisorder,-4
ppd,-4
postpartumdepression,-4
perinataldisorder,-4
substanceinducedmooddisorder,-4
psychoticdisorders,-4
schizophrenia,-4
substanceabusedisorder,-4
autism,-4
pyromania,-4
insomnia,-3
hypersomnolence,-4
parasomnias ,-4
dysthymia,-4
delirium,-4
hallucinations,-4
trichotillomania,-4
obsessivecompulsivedisorder,-4
hoardingdisorder,-4
excoriation ,-4
excoriationdisorder,-4
avoidantpersonalitydisorder,-4
agoraphobia,-4
disorder,-3
antisocial,-4
asperger,-4
atelophobia,-4
autophagia,-4
bibliomania,-4
borderline,-3
capgras,-4
claustrophobia,-4
derealization,-4
dermatillomania,-4
desynchronosis,-4
diogenes ,-4
dyslexia,-4
dyscalculia,-4
narcolepsy,-4
epilepsy,-4
encopresis,-4
erotomania,-4
ganser,-3
huntington's,-4
hypomanic,-4
hypochondriasis,-4
hysteria,-4
korsakoff's,-3
amnesia,-4
neurocysticercosis,-4
ocpd,-4
oneirophrenia,-4
ondine's ,-4
orthorexia,-4
tourettes,-4
syndrome,-3
schizoaffective,-4
schizoid ,-3
schizophreniform,-3
somatization,-3
somatoform,-3
pyromania,-3
parasomnia,-3
parkinson's,-3
partialism,-3
psychosis,-3
