Char,score,score2,score3,score4
☐,-0.667,-3.335,-2.001,-1.667
🍥,-0.594,-2.97,-1.782,-1.594
┈,-0.588,-2.94,-1.764,-1.588
👿,-0.534,-2.67,-1.602,-1.534
☹,-0.522,-2.61,-1.566,-1.522
🔋,-0.486,-2.43,-1.458,-1.486
￼,-0.476,-2.38,-1.428,-1.476
✂,-0.459,-2.295,-1.377,-1.459
🚫,-0.44,-2.2,-1.32,-1.44
📌,-0.4,-2,-1.2,-1.4
😕,-0.397,-1.985,-1.191,-1.397
😐,-0.388,-1.94,-1.164,-1.388
🔧,-0.375,-1.875,-1.125,-1.375
😒,-0.374,-1.87,-1.122,-1.374
😿,-0.372,-1.86,-1.116,-1.372
😩,-0.368,-1.84,-1.104,-1.368
😦,-0.368,-1.84,-1.104,-1.368
┻,-0.364,-1.82,-1.092,-1.364
👮,-0.348,-1.74,-1.044,-1.348
┳,-0.348,-1.74,-1.044,-1.348
😾,-0.333,-1.665,-0.999,-1.333
🍈,-0.333,-1.665,-0.999,-1.333
🙍,-0.327,-1.635,-0.981,-1.327
🍱,-0.313,-1.565,-0.939,-1.313
😑,-0.311,-1.555,-0.933,-1.311
😠,-0.299,-1.495,-0.897,-1.299
▌,-0.25,-1.25,-0.75,-1.25
■,-0.25,-1.25,-0.75,-1.25
🐁,-0.25,-1.25,-0.75,-1.25
🍣,-0.232,-1.16,-0.696,-1.232
🏫,-0.231,-1.155,-0.693,-1.231
□,-0.214,-1.07,-0.642,-1.214
😣,-0.212,-1.06,-0.636,-1.212
😤,-0.209,-1.045,-0.627,-1.209
💀,-0.207,-1.035,-0.621,-1.207
🙅,-0.202,-1.01,-0.606,-1.202
🚩,-0.2,-1,-0.6,-1.2
🔫,-0.194,-0.97,-0.582,-1.194
👎,-0.188,-0.94,-0.564,-1.188
👺,-0.182,-0.91,-0.546,-1.182
🚛,-0.182,-0.91,-0.546,-1.182
💴,-0.182,-0.91,-0.546,-1.182
😡,-0.173,-0.865,-0.519,-1.173
😷,-0.169,-0.845,-0.507,-1.169
🐑,-0.167,-0.835,-0.501,-1.167
💧,-0.159,-0.795,-0.477,-1.159
😖,-0.155,-0.775,-0.465,-1.155
💂,-0.15,-0.75,-0.45,-1.15
😔,-0.146,-0.73,-0.438,-1.146
😫,-0.145,-0.725,-0.435,-1.145
🚶,-0.143,-0.715,-0.429,-1.143
▀,-0.143,-0.715,-0.429,-1.143
😶,-0.142,-0.71,-0.426,-1.142
😨,-0.14,-0.7,-0.42,-1.14
👂,-0.136,-0.68,-0.408,-1.136
╬,-0.136,-0.68,-0.408,-1.136
▐,-0.13,-0.65,-0.39,-1.13
┐,-0.125,-0.625,-0.375,-1.125
📯,-0.125,-0.625,-0.375,-1.125
🅾,-0.125,-0.625,-0.375,-1.125
💔,-0.121,-0.605,-0.363,-1.121
🍮,-0.12,-0.6,-0.36,-1.12
➔,-0.12,-0.6,-0.36,-1.12
😞,-0.118,-0.59,-0.354,-1.118
💩,-0.116,-0.58,-0.348,-1.116
🍢,-0.111,-0.555,-0.333,-1.111
🔨,-0.105,-0.525,-0.315,-1.105
🏇,-0.1,-0.5,-0.3,-1.1
Ⓐ,-0.1,-0.5,-0.3,-1.1
♎,-0.1,-0.5,-0.3,-1.1
😭,-0.093,-0.465,-0.279,-1.093
➰,-0.091,-0.455,-0.273,-1.091
🔌,-0.091,-0.455,-0.273,-1.091
🚖,-0.083,-0.415,-0.249,-1.083
😴,-0.08,-0.4,-0.24,-1.08
😪,-0.08,-0.4,-0.24,-1.08
😓,-0.08,-0.4,-0.24,-1.08
🐸,-0.08,-0.4,-0.24,-1.08
🚚,-0.077,-0.385,-0.231,-1.077
▄,-0.071,-0.355,-0.213,-1.071
😲,-0.068,-0.34,-0.204,-1.068
⚠,-0.066,-0.33,-0.198,-1.066
😧,-0.063,-0.315,-0.189,-1.063
╰,-0.06,-0.3,-0.18,-1.06
👬,-0.059,-0.295,-0.177,-1.059
◟,-0.056,-0.28,-0.168,-1.056
🐲,-0.053,-0.265,-0.159,-1.053
🙎,-0.05,-0.25,-0.15,-1.05
🍡,-0.048,-0.24,-0.144,-1.048
░,-0.045,-0.225,-0.135,-1.045
🔞,-0.038,-0.19,-0.114,-1.038
⚾,-0.037,-0.185,-0.111,-1.037
☠,-0.033,-0.165,-0.099,-1.033
█,-0.032,-0.16,-0.096,-1.032
▒,-0.03,-0.15,-0.09,-1.03
👐,-0.023,-0.115,-0.069,-1.023
😰,-0.02,-0.1,-0.06,-1.02
👪,-0.017,-0.085,-0.051,-1.017
╯,-0.011,-0.055,-0.033,-1.011
💶,0,0,0,-1
❊,0,0,0,-1
🎭,0,0,0,-1
▁,0,0,0,-1
🚕,0,0,0,-1
☎,0,0,0,-1
╱,0,0,0,-1
⇩,0,0,0,-1
▂,0,0,0,-1
🍠,0,0,0,-1
۩,0,0,0,-1
✳,0,0,0,-1
❔,0,0,0,-1
✩,0,0,0,-1
✯,0,0,0,-1
╣,0,0,0,-1
┼,0,0,0,-1
🐃,0,0,0,-1
🍄,0,0,0,-1
⏳,0,0,0,-1
☂,0,0,0,-1
↳,0,0,0,-1
🚔,0,0,0,-1
۞,0,0,0,-1
☾,0,0,0,-1
📥,0,0,0,-1
🔦,0,0,0,-1
☮,0,0,0,-1
◞,0,0,0,-1
🚥,0,0,0,-1
🔄,0,0,0,-1
☄,0,0,0,-1
☨,0,0,0,-1
☯,0.001,0.005,0.003,-0.999
😢,0.007,0.035,0.021,-0.993
💣,0.007,0.035,0.021,-0.993
▓,0.011,0.055,0.033,-0.989
═,0.015,0.075,0.045,-0.985
😳,0.018,0.09,0.054,-0.982
🐘,0.023,0.115,0.069,-0.977
🐓,0.028,0.14,0.084,-0.972
🍳,0.028,0.14,0.084,-0.972
🚙,0.036,0.18,0.108,-0.964
📒,0.038,0.19,0.114,-0.962
🍛,0.038,0.19,0.114,-0.962
♚,0.041,0.205,0.123,-0.959
🍞,0.042,0.21,0.126,-0.958
🍯,0.045,0.225,0.135,-0.955
⠀,0.047,0.235,0.141,-0.953
🍤,0.053,0.265,0.159,-0.947
❁,0.056,0.28,0.168,-0.944
⛲,0.056,0.28,0.168,-0.944
👹,0.058,0.29,0.174,-0.942
👀,0.063,0.315,0.189,-0.937
🍗,0.063,0.315,0.189,-0.937
✦,0.063,0.315,0.189,-0.937
☷,0.064,0.32,0.192,-0.936
🚘,0.067,0.335,0.201,-0.933
🍏,0.067,0.335,0.201,-0.933
👩,0.067,0.335,0.201,-0.933
🔱,0.067,0.335,0.201,-0.933
🚋,0.067,0.335,0.201,-0.933
🏪,0.067,0.335,0.201,-0.933
❓,0.068,0.34,0.204,-0.932
🔪,0.07,0.35,0.21,-0.93
🐴,0.07,0.35,0.21,-0.93
🚑,0.071,0.355,0.213,-0.929
🆘,0.071,0.355,0.213,-0.929
🚍,0.071,0.355,0.213,-0.929
😟,0.072,0.36,0.216,-0.928
🐊,0.077,0.385,0.231,-0.923
🃏,0.083,0.415,0.249,-0.917
▼,0.083,0.415,0.249,-0.917
🚦,0.083,0.415,0.249,-0.917
