word,score
abandon,-2
abandoned,-2
abandonment,-2
abandons,-2
abuse,-4
abused,-4
abuser,-4
abusers,-4
abuses,-4
abusing,-4
abusive,-4
abusively,-4
abusiveness,-4
ache,-2
ached,-2
aches,-2
aching,-2
admirable,3
admirably,3
admiral,3
admirals,3
admiration,3
admire,3
admired,3
admirer,3
admirers,3
admires,3
admiring,3
admiringly,3
adorable,4
adorably,4
adoration,4
adore,4
adored,4
adorer,4
adorers,4
adores,4
adoring,4
adoringly,4
adorn,4
adorned,4
adorning,4
adornment,4
adornments,4
adorns,4
advantage,2
advantaged,2
advantageous,2
advantageously,2
advantages,2
adventure,1
adventured,1
adventurer,1
adventurers,1
adventures,1
adventuring,1
adventurism,1
adventurous,1
adventurously,1
adversarial,-2
adversaries,-2
adversary,-2
adverse,-2
adversely,-2
adversities,-2
adversity,-2
affection,3
affectionate,3
affectionately,3
affections,3
afraid,-4
aggravate,-3
aggravated,-3
aggravates,-3
aggravating,-3
aggravation,-3
aggravations,-3
aggression,-3
aggressions,-3
aggressive,-3
aggressively,-3
aggressiveness,-3
aggressor,-3
aggressors,-3
agitate,-2
agitated,-2
agitatedly,-2
agitates,-2
agitating,-2
agitation,-2
agitations,-2
agitator,-2
agitators,-2
agony,-4
agreeable,1
agreeableness,1
agreeably,1
alarm,-3
alarmed,-3
alarming,-3
alarmingly,-3
alarmism,-3
alarmist,-3
alarms,-3
alone,-1
amaze,3
amazed,3
amazement,3
amazes,3
amazing,3
amazingly,3
amazon,3
amazons,3
amoral,2
amorality,2
amorist,2
amorous,2
amorously,2
amorphous,2
amortisation,2
amortise,2
amortised,2
amuse,2
amused,2
amusement,2
amusements,2
amuses,2
amusing,2
amusingly,2
anger,-4
angered,-4
angering,-4
angers,-4
angrier,-4
angriest,-4
angrily,-4
angry,-4
anguish,-4
anguished,-4
anguishes,-4
annoy,-3
annoyance,-3
annoyances,-3
annoyed,-3
annoyer,-3
annoyers,-3
annoying,-3
annoyingly,-3
annoys,-3
antagonise,-2
antagonised,-2
antagonises,-2
antagonising,-2
antagonism,-2
antagonisms,-2
antagonist,-2
antagonistic,-2
antagonists,-2
anxieties,-2
anxiety,-2
anxious,-2
anxiously,-2
apathetic,-2
apathetically,-2
apathy,-2
appalled,-4
appalling,-4
appallingly,-4
appreciate,2
appreciated,2
appreciates,2
appreciating,2
appreciation,2
appreciations,2
appreciative,2
appreciatively,2
apprehension,-3
apprehensions,-3
apprehensive,-3
apprehensively,-3
arguable,-2
arguably,-2
argue,-2
argued,-2
arguer,-2
arguers,-2
argues,-2
arguing,-2
argument,-2
argumentation,-2
argumentative,-2
argumentatively,-2
arguments,-2
argus,-2
arrogance,-3
arrogant,-3
arrogantly,-3
ashamed,-4
ashamedly,-4
assault,-3
assaulted,-3
assaulting,-3
assaults,-3
attachment,1
attachments,1
attack,-3
attacked,-3
attacker,-3
attackers,-3
attacking,-3
attacks,-3
attract,2
attracted,2
attracting,2
attraction,2
attractions,2
attractive,2
attractively,2
attractiveness,2
attractor,2
attractors,2
attracts,2
aversion,-3
aversions,-3
aversive,-3
avoid,-1
avoidable,-1
avoidance,-1
avoided,-1
avoiding,-1
avoids,-1
award,1
awarded,1
awarding,1
awards,1
awesome,3
awful,-4
awkward,-2
awkwardest,-2
awkwardly,-2
awkwardness,-2
baby,2
babyface,2
babyhood,2
babying,2
babyish,2
babylon,2
babysit,2
babysitter,2
babysitters,2
babysitting,2
bad,-2
baddy,-2
bade,-2
bader,-2
badge,-2
badged,-2
badger,-2
badgered,-2
badgering,-2
badgers,-2
badges,-2
badinage,-2
badlands,-2
badly,-2
badminton,-2
badness,-2
badtempered,-2
bashful,-3
bashfully,-3
bashfulness,-3
bastard,-3
bastardisation,-3
bastardise,-3
bastardised,-3
bastards,-3
bastardy,-3
battle,-2
battleaxe,-2
battlecry,-2
battled,-2
battledress,-2
battlefield,-2
battlefields,-2
battleground,-2
battlegrounds,-2
battlement,-2
battlemented,-2
battlements,-2
battler,-2
battlers,-2
battles,-2
battleship,-2
battleships,-2
battling,-2
beaten,-1
beauteous,3
beautician,3
beauties,3
beautified,3
beautifier,3
beautifiers,3
beautifies,3
beautiful,3
beautifully,3
beautify,3
beauts,3
beauty,3
beloved,3
benefice,2
beneficence,2
beneficent,2
beneficial,2
beneficially,2
beneficiaries,2
beneficiary,2
benefit,2
benefited,2
benefiting,2
benefits,2
benefits,2
benevolence,2
benevolent,2
benevolently,2
benign,2
benignity,2
benignly,2
best,2
bestial,2
bestiality,2
bestiary,2
bestir,2
bestirred,2
bestirring,2
bestknown,2
bestow,2
bestowal,2
bestowals,2
bestowed,2
bestowing,2
bestows,2
bestride,2
bestrode,2
bests,2
bestseller,2
bestsellers,2
bestselling,2
bitch,-2
bitches,-2
bitchiness,-2
bitching,-2
bitchy,-2
bitter,-2
bitterest,-2
bitterly,-2
bittern,-2
bitterness,-2
bitters,-2
bittersweet,-2
blame,-2
blameable,-2
blamed,-2
blameful,-2
blameless,-2
blamelessly,-2
blamelessness,-2
blames,-2
blameworthy,-2
blaming,-2
bless,2
blessed,2
blessedness,2
blesses,2
blessing,2
blessings,2
bonus,1
bonuses,1
bore,-2
boreal,-2
bored,-2
boredom,-2
borehole,-2
boreholes,-2
borer,-2
borers,-2
bores,-2
boring,-2
boringly,-2
bother,-1
bothered,-1
bothering,-1
bothers,-1
bothersome,-1
brave,3
braved,3
bravely,3
braver,3
bravery,3
braves,3
bravest,3
brilliance,2
brilliancy,2
brilliant,2
brilliantly,2
broke,-1
broken,-1
brokenhearted,-1
