,Tweet,Date,Score
0,"It is such a  wonderful day today. Bright sunshine,loving it",2019-06-18,2.6
1,Being #Grateful for small things helps us be #Humble and #Positive. What little things for you today?,2019-06-20,0.0
2,It will be rainy tomorrow but it was a beautiful sunny day today.,2019-06-20,2.5
3,Imagination encircles the entire world.,2019-06-20,0.0
4,"See, I am making all things new.--Revelation 21:5 #newbeginnings #spiritual #inspiration",2019-06-20,0.0
5,Love LIFE and it will return the favor.,2019-06-20,3.0
6,"Be happy. Not because everything is perfect, but because you can see good in everything.",2019-06-20,0.666666666666667
7,"It hurts so much when you feel yourself become less, and less important to the person who means the most to you..",2019-06-20,-1.0
8,Everyday is a struggle lately.,2019-06-20,-2.0
9,I have just received news that one of the doctors I know has committed suicide.  A very experienced specialist.  Drs are just human beings just like anyone. The unreasonable expectations the world puts on them is just too much load to carry.,2019-06-20,2.0
10,"Don't Fall in Love, Rise In Love! - Gurudev @SriSri Ravi Shankar",2019-06-20,0.0
11,I was so thankful for a team of support who made work a fun and happy place and helped us dance our way out!! #perfectlyimperfectpreschool #happy,2019-06-21,1.42857142857143
12,The peace that comes with surrendered action turns to a sense of aliveness when you actually enjoy what you are doing.,2019-06-21,2.0
13,"I really hope that there has been something that has made you smile, today If not, just remember... that tomorrow is another day You deserve to be happy",2019-06-21,1.5
14,Be a source of strength and courage. Share your wisdom. Radiate love.,2019-06-21,1.8
15,Always fun to go outside and see what nature reveals #nature,2019-06-21,2.0
16,fair is foul and foul is fair hover through the fog and filthy air,2019-06-21,0.0
17,I am mad for no reason,2019-06-21,-2.0
18,I book a flight @Wakanowdotcom  on the 19th June 2019 after been debited successfully they did not confirm my flight order,2019-06-21,3.0
19,I am so damn sick of my parents and grandparents making homophobic comments out of nowhere. Makes my blood boil. #angry,2019-06-21,0.5
20,Hit me in the feels. This is why my PTSD wont let me work.,2019-06-21,-1.0
21,"Self care is a divine Responsibility... so is #SelfLove.. ... Self-care, aka taking a little “ME” Time..When you are loving Yourself...You let go of expectation that others need to show up for your happiness.",2019-06-22,2.8
22,"The way to peace is the way to love.
Love is the greatest power on earth.
It conquers all things",2019-06-22,2.66666666666667
23,A #laugh is a smile that bursts.,2019-06-22,3.0
24,"A hearty #laugh gives one a dry cleaning, while a good cry is a wet wash. 

- Kevork Thomajan",2019-06-22,-1.0
25,"why is it so easy to kill our happiness but so hard to kill our sadness? 

#sad #quote",2019-06-22,-1.0
26,sometimes you just need to cry to let out some of the emotion #sad #quotes #broken,2019-06-22,-4.0
27,"It’s 9:12pm and I’m going to bed, because the only place I’m not alone, is in my head #lonely",2019-06-22,1.0
28,"When life only seems to get harder and harder, and then something that was normal for you becomes the hardest thing ever. That's when the bad things happen. That's when your blood boils and you break. The rage takes over... #darkquotes #Bloodfury",2019-06-22,-3.0
29,But I am not heartless.The fact that I am so bitter and angry is proof for that. #DarkQuotes,2019-06-22,-1.0
30,When you are #broken and can't #affoard to trust on anyone #again,2019-06-22,-2.0
31,"Believe in your vision! View it in your mind repeatedly! Stay #positive, stay focused and trust the process!",2019-06-24,2.0
32,"A dream is the bearer of a new possibility, the enlarged horizon, the great hope.",2019-06-24,3.0
33,I'm legitimately #Angry. I normally don't get angry... But my job has actually made me f*cking pissed off.,2019-06-24,-0.333333333333333
34,Some days I really wish I could just take a week off of everything and just do nothing. #stressed,2019-06-24,0.0
35,I’m sorry that the sunshine has gone. It’s my fault. I made a selfish bedtime wish for clouds due to having a presentation to finish and reference #guilt,2019-06-24,-1.6
36,"Ever feel really guilty about cutting someone off, even though it had an immediate, and lasting, effect?",2019-06-24,-4.0
37,""" It's a lonely road ""
#lonely
#melancholy",2019-06-24,-2.0
